#   T(MeV)             q=0                q=1                    q=2             q=3                q=4                q=5                     q=6            q=7              q=8 GeV    
    2.00000e+02     1.74375e-09     1.73423e-09     1.70636e-09     1.66307e-09     1.60802e-09     1.54395e-09     1.47491e-09     1.40424e-09     1.33285e-09
    2.06000e+02     1.81212e-09     1.80237e-09     1.77478e-09     1.73123e-09     1.67568e-09     1.61141e-09     1.54229e-09     1.47121e-09     1.40045e-09
    2.12000e+02     1.87055e-09     1.86060e-09     1.83320e-09     1.78939e-09     1.73340e-09     1.66890e-09     1.59967e-09     1.52820e-09     1.45788e-09
    2.18000e+02     1.91953e-09     1.90942e-09     1.88211e-09     1.83806e-09     1.78169e-09     1.71693e-09     1.64755e-09     1.57574e-09     1.50568e-09
    2.24000e+02     1.95954e-09     1.94930e-09     1.92202e-09     1.87774e-09     1.82104e-09     1.75603e-09     1.68648e-09     1.61435e-09     1.54443e-09
    2.30000e+02     1.99108e-09     1.98075e-09     1.95343e-09     1.90895e-09     1.85198e-09     1.78671e-09     1.71699e-09     1.64461e-09     1.57471e-09
    2.36000e+02     2.01465e-09     2.00425e-09     1.97686e-09     1.93221e-09     1.87504e-09     1.80954e-09     1.73965e-09     1.66707e-09     1.59711e-09
    2.42000e+02     2.03075e-09     2.02033e-09     1.99282e-09     1.94804e-09     1.89074e-09     1.82504e-09     1.75503e-09     1.68233e-09     1.61226e-09
    2.48000e+02     2.03991e-09     2.02950e-09     2.00184e-09     1.95698e-09     1.89964e-09     1.83380e-09     1.76370e-09     1.69097e-09     1.62078e-09
    2.54000e+02     2.04265e-09     2.03227e-09     2.00447e-09     1.95959e-09     1.90229e-09     1.83638e-09     1.76626e-09     1.69360e-09     1.62331e-09
    2.60000e+02     2.03949e-09     2.02918e-09     2.00124e-09     1.95641e-09     1.89925e-09     1.83336e-09     1.76331e-09     1.69086e-09     1.62053e-09
    2.66000e+02     2.03097e-09     2.02076e-09     1.99270e-09     1.94800e-09     1.89111e-09     1.82535e-09     1.75548e-09     1.68338e-09     1.61309e-09
    2.72000e+02     2.01764e-09     2.00755e-09     1.97942e-09     1.93494e-09     1.87843e-09     1.81294e-09     1.74339e-09     1.67182e-09     1.60170e-09
    2.78000e+02     2.00004e-09     1.99011e-09     1.96194e-09     1.91781e-09     1.86182e-09     1.79675e-09     1.72768e-09     1.65684e-09     1.58705e-09
    2.84000e+02     1.97872e-09     1.96898e-09     1.94086e-09     1.89718e-09     1.84187e-09     1.77741e-09     1.70902e-09     1.63911e-09     1.56987e-09
    2.90000e+02     1.95425e-09     1.94474e-09     1.91673e-09     1.87365e-09     1.81920e-09     1.75556e-09     1.68806e-09     1.61935e-09     1.55090e-09
    2.96000e+02     1.92720e-09     1.91796e-09     1.89016e-09     1.84783e-09     1.79443e-09     1.73183e-09     1.66548e-09     1.59825e-09     1.53089e-09
    3.02000e+02     1.89815e-09     1.88920e-09     1.86172e-09     1.82031e-09     1.76818e-09     1.70690e-09     1.64199e-09     1.57654e-09     1.51060e-09
    3.08000e+02     1.86766e-09     1.85906e-09     1.83203e-09     1.79173e-09     1.74109e-09     1.68142e-09     1.61827e-09     1.55496e-09     1.49082e-09
    3.14000e+02     1.83634e-09     1.82813e-09     1.80169e-09     1.76270e-09     1.71382e-09     1.65608e-09     1.59505e-09     1.53425e-09     1.47234e-09
    3.20000e+02     1.80479e-09     1.79700e-09     1.77131e-09     1.73385e-09     1.68701e-09     1.63157e-09     1.57305e-09     1.51519e-09     1.45598e-09
    3.26000e+02     1.77359e-09     1.76627e-09     1.74151e-09     1.70583e-09     1.66134e-09     1.60859e-09     1.55301e-09     1.49855e-09     1.44256e-09
